Date,PM10
2024-11-01 01:00,7.1,
2024-11-01 02:00,7.8,
2024-11-01 03:00,8.6,
2024-11-01 04:00,9.2,
2024-11-01 05:00,10.7,
2024-11-01 06:00,12.8,
2024-11-01 07:00,18.2,
2024-11-01 08:00,19.0,
2024-11-01 09:00,18.9,
2024-11-01 10:00,20.4,
2024-11-01 11:00,21.3,
2024-11-01 12:00,21.1,
2024-11-01 13:00,20.0,
2024-11-01 14:00,21.7,
2024-11-01 15:00,23.7,
2024-11-01 16:00,25.1,
2024-11-01 17:00,25.2,
2024-11-01 18:00,24.7,
2024-11-01 19:00,24.6,
2024-11-01 20:00,24.0,
2024-11-01 21:00,22.1,
2024-11-01 22:00,14.9,
2024-11-01 23:00,10.6,
2024-11-02 00:00,10.0,
2024-11-02 01:00,9.1,
2024-11-02 02:00,8.3,
2024-11-02 03:00,6.6,
2024-11-02 04:00,7.2,
2024-11-02 05:00,6.9,
2024-11-02 06:00,6.9,
2024-11-02 07:00,7.0,
2024-11-02 08:00,7.3,
2024-11-02 09:00,6.6,
2024-11-02 10:00,5.7,
2024-11-02 11:00,3.7,
2024-11-02 12:00,3.2,
2024-11-02 13:00,2.9,
2024-11-02 14:00,3.0,
2024-11-02 15:00,3.1,
2024-11-02 16:00,2.8,
2024-11-02 17:00,4.6,
2024-11-02 18:00,10.3,
2024-11-02 19:00,28.1,
2024-11-02 20:00,36.6,
2024-11-02 21:00,42.4,
2024-11-02 22:00,50.0,
2024-11-02 23:00,53.6,
2024-11-03 00:00,62.5,
2024-11-03 01:00,79.3,
2024-11-03 02:00,65.7,
2024-11-03 03:00,55.9,
2024-11-03 04:00,50.8,
2024-11-03 05:00,47.6,
2024-11-03 06:00,41.9,
2024-11-03 07:00,41.8,
2024-11-03 08:00,40.0,
2024-11-03 09:00,34.8,
2024-11-03 10:00,29.2,
2024-11-03 11:00,25.7,
2024-11-03 12:00,17.0,
2024-11-03 13:00,11.6,
2024-11-03 14:00,10.1,
2024-11-03 15:00,10.8,
2024-11-03 16:00,11.5,
2024-11-03 17:00,14.6,
2024-11-03 18:00,18.0,
2024-11-03 19:00,19.7,
2024-11-03 20:00,16.8,
2024-11-03 21:00,15.3,
2024-11-03 22:00,13.4,
2024-11-03 23:00,11.2,
2024-11-04 00:00,9.3,
2024-11-04 01:00,9.8,
2024-11-04 02:00,9.5,
2024-11-04 03:00,10.0,
2024-11-04 04:00,9.6,
2024-11-04 05:00,10.4,
2024-11-04 06:00,11.8,
2024-11-04 07:00,14.2,
2024-11-04 08:00,16.0,
2024-11-04 09:00,16.3,
2024-11-04 10:00,16.6,
2024-11-04 11:00,15.8,
2024-11-04 12:00,14.2,
2024-11-04 13:00,13.7,
2024-11-04 14:00,9.9,
2024-11-04 15:00,9.3,
2024-11-04 16:00,13.3,
2024-11-04 17:00,14.6,
2024-11-04 18:00,23.6,
2024-11-04 19:00,27.8,
2024-11-04 20:00,30.1,
2024-11-04 21:00,36.0,
2024-11-04 22:00,61.9,
2024-11-04 23:00,47.5,
2024-11-05 00:00,35.7,
2024-11-05 01:00,24.4,
2024-11-05 02:00,24.0,
2024-11-05 03:00,13.9,
2024-11-05 04:00,12.7,
2024-11-05 05:00,10.7,
2024-11-05 06:00,11.2,
2024-11-05 07:00,11.4,
2024-11-05 08:00,12.4,
2024-11-05 09:00,17.7,
2024-11-05 10:00,19.6,
2024-11-05 11:00,20.0,
2024-11-05 12:00,23.4,
2024-11-05 13:00,27.0,
2024-11-05 14:00,26.3,
2024-11-05 15:00,25.6,
2024-11-05 16:00,26.0,
2024-11-05 17:00,26.2,
2024-11-05 18:00,27.0,
2024-11-05 19:00,24.5,
2024-11-05 20:00,25.6,
2024-11-05 21:00,28.5,
2024-11-05 22:00,31.2,
2024-11-05 23:00,32.8,
2024-11-06 00:00,32.0,
2024-11-06 01:00,32.4,
2024-11-06 02:00,33.1,
2024-11-06 03:00,33.6,
2024-11-06 04:00,34.6,
2024-11-06 05:00,33.1,
2024-11-06 06:00,33.1,
2024-11-06 07:00,37.8,
2024-11-06 08:00,37.2,
2024-11-06 09:00,34.8,
2024-11-06 10:00,35.6,
2024-11-06 11:00,34.9,
2024-11-06 12:00,37.8,
2024-11-06 13:00,38.4,
2024-11-06 14:00,36.1,
2024-11-06 15:00,35.2,
2024-11-06 16:00,32.7,
2024-11-06 17:00,33.6,
2024-11-06 18:00,33.6,
2024-11-06 19:00,34.7,
2024-11-06 20:00,39.8,
2024-11-06 21:00,33.7,
2024-11-06 22:00,31.3,
2024-11-06 23:00,27.4,
2024-11-07 00:00,28.8,
2024-11-07 01:00,31.2,
2024-11-07 02:00,29.7,
2024-11-07 03:00,27.5,
2024-11-07 04:00,21.7,
2024-11-07 05:00,16.3,
2024-11-07 06:00,12.2,
2024-11-07 07:00,13.0,
2024-11-07 08:00,13.5,
2024-11-07 09:00,13.6,
2024-11-07 10:00,12.0,
2024-11-07 11:00,12.5,
2024-11-07 12:00,15.1,
2024-11-07 13:00,13.3,
2024-11-07 14:00,10.7,
2024-11-07 15:00,10.7,
2024-11-07 16:00,10.8,
2024-11-07 17:00,12.4,
2024-11-07 18:00,15.9,
2024-11-07 19:00,17.7,
2024-11-07 20:00,21.2,
2024-11-07 21:00,18.5,
2024-11-07 22:00,18.0,
2024-11-07 23:00,19.7,
2024-11-08 00:00,22.9,
2024-11-08 01:00,19.9,
2024-11-08 02:00,20.7,
2024-11-08 03:00,19.0,
2024-11-08 04:00,17.1,
2024-11-08 05:00,10.6,
2024-11-08 06:00,11.3,
2024-11-08 07:00,12.4,
2024-11-08 08:00,14.3,
2024-11-08 09:00,14.6,
2024-11-08 10:00,15.3,
2024-11-08 11:00,15.7,
2024-11-08 12:00,16.5,
2024-11-08 13:00,17.6,
2024-11-08 14:00,18.3,
2024-11-08 15:00,19.2,
2024-11-08 16:00,20.6,
2024-11-08 17:00,21.3,
2024-11-08 18:00,23.6,
2024-11-08 19:00,27.6,
2024-11-08 20:00,30.0,
2024-11-08 21:00,31.4,
2024-11-08 22:00,33.2,
2024-11-08 23:00,32.8,
2024-11-09 00:00,30.7,
2024-11-09 01:00,32.6,
2024-11-09 02:00,26.8,
2024-11-09 03:00,28.4,
2024-11-09 04:00,26.6,
2024-11-09 05:00,25.2,
2024-11-09 06:00,24.7,
2024-11-09 07:00,25.3,
2024-11-09 08:00,25.9,
2024-11-09 09:00,26.4,
2024-11-09 10:00,25.4,
2024-11-09 11:00,24.0,
2024-11-09 12:00,24.1,
2024-11-09 13:00,24.5,
2024-11-09 14:00,25.1,
2024-11-09 15:00,26.5,
2024-11-09 16:00,30.4,
2024-11-09 17:00,30.6,
2024-11-09 18:00,30.3,
2024-11-09 19:00,30.0,
2024-11-09 20:00,29.7,
2024-11-09 21:00,29.9,
2024-11-09 22:00,31.8,
2024-11-09 23:00,29.8,
2024-11-10 00:00,30.3,
2024-11-10 01:00,31.2,
2024-11-10 02:00,33.6,
2024-11-10 03:00,36.0,
2024-11-10 04:00,38.9,
2024-11-10 05:00,39.2,
2024-11-10 06:00,40.7,
2024-11-10 07:00,38.7,
2024-11-10 08:00,37.9,
2024-11-10 09:00,39.3,
2024-11-10 10:00,34.6,
2024-11-10 11:00,32.7,
2024-11-10 12:00,28.7,
2024-11-10 13:00,25.0,
2024-11-10 14:00,25.2,
2024-11-10 15:00,25.9,
2024-11-10 16:00,25.7,
2024-11-10 17:00,25.0,
2024-11-10 18:00,26.6,
2024-11-10 19:00,28.8,
2024-11-10 20:00,31.9,
2024-11-10 21:00,34.6,
2024-11-10 22:00,36.0,
2024-11-10 23:00,38.0,
2024-11-11 00:00,39.5,
2024-11-11 01:00,37.8,
2024-11-11 02:00,33.8,
2024-11-11 03:00,35.4,
2024-11-11 04:00,27.6,
2024-11-11 05:00,28.7,
2024-11-11 06:00,25.6,
2024-11-11 07:00,27.8,
2024-11-11 08:00,29.6,
2024-11-11 09:00,31.7,
2024-11-11 10:00,32.9,
2024-11-11 11:00,32.0,
2024-11-11 12:00,33.7,
2024-11-11 13:00,37.7,
2024-11-11 14:00,35.8,
2024-11-11 15:00,36.7,
2024-11-11 16:00,31.7,
2024-11-11 17:00,34.0,
2024-11-11 18:00,36.6,
2024-11-11 19:00,43.3,
2024-11-11 20:00,45.0,
2024-11-11 21:00,45.8,
2024-11-11 22:00,45.5,
2024-11-11 23:00,50.4,
2024-11-12 00:00,60.6,
2024-11-12 01:00,53.5,
2024-11-12 02:00,35.0,
2024-11-12 03:00,29.8,
2024-11-12 04:00,31.8,
2024-11-12 05:00,29.4,
2024-11-12 06:00,37.9,
2024-11-12 07:00,42.5,
2024-11-12 08:00,37.8,
2024-11-12 09:00,36.7,
2024-11-12 10:00,37.1,
2024-11-12 11:00,37.0,
2024-11-12 12:00,34.8,
2024-11-12 13:00,30.6,
2024-11-12 14:00,27.2,
2024-11-12 15:00,24.0,
2024-11-12 16:00,23.1,
2024-11-12 17:00,20.7,
2024-11-12 18:00,20.0,
2024-11-12 19:00,15.9,
2024-11-12 20:00,16.1,
2024-11-12 21:00,18.8,
2024-11-12 22:00,19.4,
2024-11-12 23:00,19.3,
2024-11-13 00:00,21.9,
2024-11-13 01:00,25.7,
2024-11-13 02:00,37.0,
2024-11-13 03:00,31.7,
2024-11-13 04:00,26.3,
2024-11-13 05:00,25.0,
2024-11-13 06:00,22.6,
2024-11-13 07:00,18.7,
2024-11-13 08:00,16.8,
2024-11-13 09:00,17.2,
2024-11-13 10:00,21.7,
2024-11-13 11:00,17.2,
2024-11-13 12:00,22.9,
2024-11-13 13:00,29.8,
2024-11-13 14:00,24.5,
2024-11-13 15:00,15.6,
2024-11-13 16:00,15.8,
2024-11-13 17:00,16.3,
2024-11-13 18:00,19.2,
2024-11-13 19:00,23.0,
2024-11-13 20:00,20.5,
2024-11-13 21:00,20.8,
2024-11-13 22:00,23.6,
2024-11-13 23:00,28.0,
2024-11-14 00:00,18.70,
2024-11-14 01:00,15.90,
2024-11-14 02:00,21.10,
2024-11-14 03:00,24.80,
2024-11-14 04:00,17.60,
2024-11-14 05:00,16.90,
2024-11-14 06:00,13.00,
2024-11-14 07:00,11.80,
2024-11-14 08:00,15.70,
2024-11-14 09:00,18.90,
2024-11-14 10:00,19.60,
2024-11-14 11:00,18.60,
2024-11-14 12:00,28.60,
2024-11-14 13:00,29.40,
2024-11-14 14:00,18.50,
2024-11-14 15:00,16.70,
2024-11-14 16:00,21.40,
2024-11-14 17:00,14.00,
2024-11-14 18:00,12.70,
2024-11-14 19:00,15.20,
2024-11-14 20:00,14.90,
2024-11-14 21:00,7.78,
2024-11-14 22:00,14.80,
2024-11-14 23:00,13.40,

