Date,PM10
2024-11-01 01:00,7.1,
2024-11-01 02:00,7.8,
2024-11-01 03:00,8.6,
2024-11-01 04:00,9.2,
2024-11-01 05:00,10.7,
2024-11-01 06:00,12.8,
2024-11-01 07:00,18.2,
2024-11-01 08:00,19.0,
2024-11-01 09:00,18.9,
2024-11-01 10:00,20.4,
2024-11-01 11:00,21.3,
2024-11-01 12:00,21.1,
2024-11-01 13:00,20.0,
2024-11-01 14:00,21.7,
2024-11-01 15:00,23.7,
2024-11-01 16:00,25.1,
2024-11-01 17:00,25.2,
2024-11-01 18:00,24.7,
2024-11-01 19:00,24.6,
2024-11-01 20:00,24.0,
2024-11-01 21:00,22.1,
2024-11-01 22:00,14.9,
2024-11-01 23:00,10.6,
