Date,CO,PM10,NO2,PM25,SO2
2024-11-01 01:00,0.3,7.1,6.2,6.3,3.0,
2024-11-01 02:00,0.3,7.8,5.6,7.0,2.9,
2024-11-01 03:00,0.3,8.6,6.9,7.6,2.8,
2024-11-01 04:00,0.3,9.2,6.3,8.3,2.7,
2024-11-01 05:00,0.3,10.7,7.3,9.7,2.9,
2024-11-01 06:00,0.3,12.8,9.2,11.7,2.5,
2024-11-01 07:00,0.3,18.2,13.0,17.0,2.9,
2024-11-01 08:00,0.3,19.0,10.3,18.0,2.7,
2024-11-01 09:00,0.3,18.9,11.3,17.8,3.0,
2024-11-01 10:00,0.3,20.4,13.6,18.9,3.1,
2024-11-01 11:00,0.4,21.3,15.4,19.7,3.1,
2024-11-01 12:00,0.3,21.1,13.4,19.5,2.9,
2024-11-01 13:00,0.3,20.0,12.9,18.4,3.2,
2024-11-01 14:00,0.3,21.7,14.7,20.2,4.2,
2024-11-01 15:00,0.3,23.7,16.1,21.7,3.4,
2024-11-01 16:00,0.4,25.1,17.3,23.6,3.7,
2024-11-01 17:00,0.4,25.2,18.5,23.4,2.5,
2024-11-01 18:00,0.4,24.7,18.5,23.3,2.4,
2024-11-01 19:00,0.4,24.6,17.9,23.3,2.3,
2024-11-01 20:00,0.4,24.0,17.6,22.8,2.3,
2024-11-01 21:00,0.3,22.1,17.0,20.8,2.3,
2024-11-01 22:00,0.3,14.9,10.7,13.9,2.4,
2024-11-01 23:00,0.3,10.6,9.3,10.0,2.2,
2024-11-02 00:00,0.3,10.0,8.0,9.5,2.2,
2024-11-02 01:00,0.3,9.1,7.5,8.9,2.2,
2024-11-02 02:00,0.3,8.3,8.0,8.1,2.1,
2024-11-02 03:00,0.3,6.6,4.1,5.5,2.1,
2024-11-02 04:00,0.3,7.2,3.4,5.8,2.1,
2024-11-02 05:00,0.3,6.9,4.2,5.6,2.3,
2024-11-02 06:00,0.3,6.9,5.8,5.5,2.2,
2024-11-02 07:00,0.3,7.0,5.8,5.5,2.2,
2024-11-02 08:00,0.3,7.3,7.0,5.7,2.3,
2024-11-02 09:00,0.3,6.6,6.0,5.3,2.2,
2024-11-02 10:00,0.3,5.7,4.9,4.2,2.3,
2024-11-02 11:00,0.3,3.7,4.2,2.6,2.3,
2024-11-02 12:00,0.3,3.2,5.0,2.4,2.2,
2024-11-02 13:00,0.3,2.9,5.7,2.3,1.9,
2024-11-02 14:00,0.3,3.0,7.9,2.3,1.1,
2024-11-02 15:00,0.3,3.1,8.0,2.4,1.1,
2024-11-02 16:00,0.3,2.8,8.9,2.3,1.0,
2024-11-02 17:00,0.4,4.6,17.6,3.4,1.6,
2024-11-02 18:00,0.5,10.3,65.1,7.5,2.9,
2024-11-02 19:00,1.1,28.1,136.6,23.1,3.3,
2024-11-02 20:00,1.4,36.6,180.9,31.7,4.1,
2024-11-02 21:00,1.2,42.4,86.8,37.9,2.7,
2024-11-02 22:00,1.5,50.0,135.9,45.8,3.2,
2024-11-02 23:00,1.6,53.6,139.7,50.1,3.2,
2024-11-03 00:00,1.6,62.5,106.9,60.2,2.8,
2024-11-03 01:00,1.8,79.3,75.0,77.3,2.8,
2024-11-03 02:00,1.5,65.7,64.7,64.0,2.8,
2024-11-03 03:00,1.3,55.9,54.6,54.6,2.6,
2024-11-03 04:00,1.1,50.8,48.8,49.6,2.5,
2024-11-03 05:00,1.0,47.6,37.8,46.6,2.3,
2024-11-03 06:00,0.9,41.9,44.1,40.0,2.5,
2024-11-03 07:00,0.8,41.8,41.5,39.7,2.3,
2024-11-03 08:00,0.8,40.0,50.4,37.6,2.5,
2024-11-03 09:00,0.7,34.8,24.1,32.9,2.9,
2024-11-03 10:00,0.5,29.2,19.1,27.6,4.4,
2024-11-03 11:00,0.5,25.7,16.6,23.8,4.0,
2024-11-03 12:00,0.4,17.0,13.4,15.0,5.2,
2024-11-03 13:00,0.4,11.6,12.8,9.7,5.1,
2024-11-03 14:00,0.4,10.1,12.0,8.2,4.1,
2024-11-03 15:00,0.3,10.8,13.2,8.6,4.2,
2024-11-03 16:00,0.4,11.5,18.7,9.0,2.4,
2024-11-03 17:00,0.4,14.6,26.6,12.2,2.6,
2024-11-03 18:00,0.4,18.0,27.8,15.8,2.5,
2024-11-03 19:00,0.5,19.7,29.2,17.8,3.5,
2024-11-03 20:00,0.4,16.8,21.3,15.2,3.1,
2024-11-03 21:00,0.4,15.3,17.0,14.0,2.8,
2024-11-03 22:00,0.4,13.4,13.9,12.2,2.2,
2024-11-03 23:00,0.3,11.2,11.0,10.1,1.8,
2024-11-04 00:00,0.3,9.3,8.9,8.5,1.9,
2024-11-04 01:00,0.3,9.8,7.8,8.9,1.8,
2024-11-04 02:00,0.3,9.5,7.3,8.6,1.8,
2024-11-04 03:00,0.3,10.0,7.8,9.0,1.7,
2024-11-04 04:00,0.3,9.6,7.1,8.9,1.7,
2024-11-04 05:00,0.3,10.4,8.6,9.8,1.4,
2024-11-04 06:00,0.3,11.8,16.9,11.2,1.3,
2024-11-04 07:00,0.4,14.2,42.7,13.6,1.6,
2024-11-04 08:00,0.4,16.0,53.0,15.5,1.7,
2024-11-04 09:00,0.4,16.3,32.9,15.5,1.5,
2024-11-04 10:00,0.3,16.6,28.3,15.8,1.5,
2024-11-04 11:00,0.3,15.8,21.9,15.1,1.5,
2024-11-04 12:00,0.3,14.2,13.1,13.4,2.0,
2024-11-04 13:00,0.3,13.7,11.7,11.8,2.2,
2024-11-04 14:00,0.3,9.9,10.2,9.0,1.2,
2024-11-04 15:00,0.4,9.3,25.4,8.5,1.6,
2024-11-04 16:00,0.5,13.3,69.4,11.0,1.9,
2024-11-04 17:00,0.6,14.6,102.0,12.1,1.8,
2024-11-04 18:00 ,23.6, ,18.7, ,
2024-11-04 19:00,1.2,27.8,228.5,23.2,2.9,
2024-11-04 20:00,1.3,30.1, ,25.4,2.8,
2024-11-04 21:00,1.8,36.0,309.1,31.2,3.2,
2024-11-04 22:00,1.8,61.9,246.0,47.8,2.9,
2024-11-04 23:00,1.3,47.5,118.7,43.6,2.2,
2024-11-05 00:00,0.9,35.7,74.2,34.1,1.8,
2024-11-05 01:00,0.7,24.4,53.2,23.7,1.3,
2024-11-05 02:00,0.7,24.0,35.4,23.5,1.7,
2024-11-05 03:00,0.4,13.9,11.6,13.5,1.3,
2024-11-05 04:00,0.4,12.7,9.5,12.1,1.4,
2024-11-05 05:00,0.4,10.7,11.0,10.4,1.4,
2024-11-05 06:00,0.4,11.2,17.9,10.8,1.2,
2024-11-05 07:00,0.4,11.4,20.8,11.0,1.4,
2024-11-05 08:00,0.4,12.4,31.8,11.6,1.2,
2024-11-05 09:00,0.5,17.7,32.4,15.2,1.5,
2024-11-05 10:00,0.4,19.6,24.8,17.8,1.2,
2024-11-05 11:00,0.4,20.0,20.4,19.2,1.6,
2024-11-05 12:00,0.4,23.4,19.4,22.0,1.5,
2024-11-05 13:00,0.4,27.0,19.5,25.4,1.3,
2024-11-05 14:00,0.4,26.3,28.4,25.2,2.2,
2024-11-05 15:00,0.4,25.6,24.9,24.4,1.8,
2024-11-05 16:00,0.4,26.0,25.9,24.3,1.9,
2024-11-05 17:00,0.4,26.2,26.3,25.0,2.0,
2024-11-05 18:00,0.4,27.0,26.9,25.9,2.2,
2024-11-05 19:00,0.4,24.5,23.2,23.4,2.0,
2024-11-05 20:00,0.5,25.6,31.1,24.6,1.9,
2024-11-05 21:00,0.5,28.5,44.9,26.7,2.1,
2024-11-05 22:00,0.6,31.2,50.3,29.1,2.2,
2024-11-05 23:00,0.5,32.8,37.7,31.1,2.3,
2024-11-06 00:00,0.5,32.0,24.0,30.7,2.2,
2024-11-06 01:00,0.4,32.4,15.9,31.2,2.1,
2024-11-06 02:00,0.4,33.1,14.7,31.9,2.1,
2024-11-06 03:00,0.4,33.6,14.5,32.4,2.3,
2024-11-06 04:00,0.4,34.6,14.3,33.2,2.2,
2024-11-06 05:00,0.4,33.1,13.8,31.7,2.3,
2024-11-06 06:00,0.4,33.1,15.2,31.6,2.5,
2024-11-06 07:00,0.5,37.8,22.8,35.7,2.3,
2024-11-06 08:00,0.5,37.2,27.4,35.2,2.6,
2024-11-06 09:00,0.5,34.8,23.8,32.6,2.3,
2024-11-06 10:00,0.5,35.6,24.8,31.7,2.3,
2024-11-06 11:00,0.5,34.9,21.2,31.8,2.3,
2024-11-06 12:00,0.5,37.8,17.1,33.4,2.3,
2024-11-06 13:00,0.5,38.4,20.9,34.8,3.4,
2024-11-06 14:00,0.5,36.1,21.7,32.4,3.7,
2024-11-06 15:00,0.5,35.2,21.3,31.1,3.5,
2024-11-06 16:00,0.5,32.7,18.5,30.3,3.3,
2024-11-06 17:00,0.5,33.6,22.8,31.2,3.4,
2024-11-06 18:00,0.5,33.6,20.6,31.6,3.4,
2024-11-06 19:00,0.5,34.7,17.4,32.9,3.2,
2024-11-06 20:00,0.5,39.8,18.2,37.8,3.2,
2024-11-06 21:00,0.5,33.7,14.2,32.3,3.6,
2024-11-06 22:00,0.5,31.3,12.2,30.0,4.0,
2024-11-06 23:00,0.5,27.4,10.3,26.8,4.7,
2024-11-07 00:00,0.4,28.8,9.3,28.2,4.5,
2024-11-07 01:00,0.4,31.2,5.9,30.3,4.5,
2024-11-07 02:00,0.4,29.7,6.6,29.0,4.0,
2024-11-07 03:00,0.4,27.5,6.0,26.9,4.0,
2024-11-07 04:00,0.4,21.7,5.3,21.2,3.6,
2024-11-07 05:00,0.4,16.3,6.3,15.9,3.2,
2024-11-07 06:00,0.4,12.2,9.3,12.0,3.3,
2024-11-07 07:00,0.4,13.0,14.9,12.6,3.4,
2024-11-07 08:00,0.4,13.5,15.5,13.0,3.3,
2024-11-07 09:00,0.4,13.6,18.1,13.3,3.2,
2024-11-07 10:00,0.4,12.0,11.7,11.7,3.5,
2024-11-07 11:00,0.4,12.5,11.5,12.1,2.7,
2024-11-07 12:00,0.4,15.1,12.7,14.4,1.8,
2024-11-07 13:00,0.4,13.3,13.8,12.6,2.0,
2024-11-07 14:00,0.4,10.7,10.3,10.2,1.7,
2024-11-07 15:00,0.4,10.7,13.5,10.2,1.7,
2024-11-07 16:00,0.4,10.8,11.8,10.3,1.6,
2024-11-07 17:00,0.4,12.4,12.0,11.7,1.5,
2024-11-07 18:00,0.5,15.9,16.6,15.2,1.3,
2024-11-07 19:00,0.5,17.7,15.5,16.5,1.3,
2024-11-07 20:00,0.5,21.2,15.2,19.4,1.4,
2024-11-07 21:00,0.5,18.5,11.8,17.4,1.7,
2024-11-07 22:00,0.5,18.0,9.4,17.0,1.7,
2024-11-07 23:00,0.5,19.7,9.7,19.1,1.6,
2024-11-08 00:00,0.5,22.9,6.8,22.2,1.4,
2024-11-08 01:00,0.5,19.9,5.8,19.3,1.7,
2024-11-08 02:00,0.5,20.7,7.2,19.9,1.8,
2024-11-08 03:00,0.5,19.0,6.6,18.5,1.3,
2024-11-08 04:00,0.5,17.1,5.6,16.8,1.7,
2024-11-08 05:00,0.4,10.6,4.1,10.3,1.5,
2024-11-08 06:00,0.4,11.3,4.5,11.0,1.4,
2024-11-08 07:00,0.4,12.4,6.2,11.9,1.3,
2024-11-08 08:00,0.4,14.3,7.2,13.7,1.4,
2024-11-08 09:00,0.4,14.6,7.2,13.5,1.2,
2024-11-08 10:00,0.4,15.3,7.7,14.4,1.1,
2024-11-08 11:00,0.4,15.7,6.2,14.9,1.6,
2024-11-08 12:00,0.4,16.5,9.3,15.4,1.7,
2024-11-08 13:00,0.4,17.6,9.1,16.4,1.6,
2024-11-08 14:00,0.4,18.3,9.7,16.8,1.6,
2024-11-08 15:00,0.4,19.2,10.3,17.9,1.7,
2024-11-08 16:00,0.4,20.6,11.4,19.0,1.7,
2024-11-08 17:00,0.4,21.3,7.9,20.1,1.8,
2024-11-08 18:00,0.4,23.6,8.9,22.3,1.9,
2024-11-08 19:00 ,27.6, ,26.3, ,
2024-11-08 20:00,0.5,30.0,10.5,28.7,1.9,
2024-11-08 21:00,0.5,31.4, ,29.9,1.8,
2024-11-08 22:00,0.5,33.2,22.9,31.2,2.0,
2024-11-08 23:00,0.5,32.8,19.8,28.9,2.3,
2024-11-09 00:00,0.5,30.7,17.4,28.2,2.7,
2024-11-09 01:00,0.5,32.6,16.2,26.7,2.4,
2024-11-09 02:00,0.5,26.8,15.2,23.7,2.5,
2024-11-09 03:00,0.5,28.4,15.3,24.0,2.7,
2024-11-09 04:00,0.5,26.6,14.5,23.2,2.8,
2024-11-09 05:00,0.5,25.2,14.3,21.7,3.2,
2024-11-09 06:00,0.5,24.7,13.3,20.6,2.9,
2024-11-09 07:00,0.5,25.3,14.9,20.8,2.8,
2024-11-09 08:00,0.5,25.9,15.7,20.1,3.7,
2024-11-09 09:00,0.5,26.4,18.7,20.5,4.1,
2024-11-09 10:00,0.5,25.4,21.1,20.2,5.2,
2024-11-09 11:00,0.5,24.0,19.6,19.6,6.6,
2024-11-09 12:00,0.5,24.1,20.7,20.1,9.3,
2024-11-09 13:00,0.5,24.5,21.9,22.2,10.1,
2024-11-09 14:00,0.5,25.1,26.3,24.2,10.6,
2024-11-09 15:00,0.4,26.5,22.7,25.9,9.1,
2024-11-09 16:00,0.5,30.4,29.2,29.6,9.0,
2024-11-09 17:00,0.4,30.6,23.4,29.5,6.5,
2024-11-09 18:00,0.5,30.3,23.9,29.3,4.1,
2024-11-09 19:00,0.5,30.0,26.5,28.6,2.2,
2024-11-09 20:00,0.5,29.7,21.2,28.8,1.9,
2024-11-09 21:00,0.4,29.9,21.3,29.2,2.1,
2024-11-09 22:00,0.5,31.8,21.7,31.3,2.0,
2024-11-09 23:00,0.4,29.8,16.1,29.1,1.9,
2024-11-10 00:00,0.4,30.3,17.0,29.3,1.8,
2024-11-10 01:00,0.5,31.2,15.7,29.4,1.6,
2024-11-10 02:00,0.5,33.6,14.3,31.9,1.8,
2024-11-10 03:00,0.5,36.0,16.7,35.2,1.8,
2024-11-10 04:00,0.5,38.9,18.1,38.1,2.0,
